name,overall,position,value,value_predicted,difference
E. Dinkçi,64,4,1.5,1.6396477407537766,-0.13964774075377662
Gilberto,75,2,4.999999999999999,5.1378953767110325,-0.13789537671103336
Y. Barasi,61,4,0.775,0.9124554308031841,-0.13745543080318412
W. Swedberg,59,4,0.55,0.6850736253413282,-0.13507362534132816
M. Caicedo,64,4,1.4,1.5343348050839558,-0.1343348050839559
K. Karataş,61,4,0.725,0.8591289467626495,-0.13412894676264953
N. Williams,68,2,2.8,2.93399164114435,-0.13399164114435003
D. Popov,73,2,6.499999999999999,6.63371736752412,-0.13371736752412122
Jozabed,71,3,1.8,1.9328895722731048,-0.13288957227310472
Urko González,65,3,1.5,1.6327454548304132,-0.13274545483041322
R. Glatzel,69,4,1.5,1.6321547617071446,-0.13215476170714457
L. Besozzi,62,3,1.0,1.1304054384423943,-0.13040543844239427
A. Fletcher,69,4,1.9,2.029718533028116,-0.12971853302811587
F. Flores,65,2,1.6,1.7271459382122318,-0.12714593821223175
J. Nelson,61,4,0.75,0.8771113562631083,-0.12711135626310832
F. Sambueza,72,4,1.9,2.025975352686925,-0.12597535268692495
Juande,68,2,2.5,2.6256133469183496,-0.12561334691834958
S. Ezatolahi,68,3,1.8,1.9249145352737782,-0.12491453527377816
C. Patino,62,3,1.2,1.3241004960590128,-0.12410049605901285
J. Onguéné,71,2,3.5,3.6232930320385863,-0.12329303203858633
R. Østrøm,60,2,0.55,0.6729711263412799,-0.12297112634127982
R. Jones,60,4,0.675,0.7977742001363944,-0.1227742001363944
A. Baptiste,65,2,0.19,0.3112239293907021,-0.12122392939070209
P. Bonet,63,1,0.975,1.0959173383820922,-0.12091733838209218
F. Ebosele,62,3,0.875,0.9948062097328894,-0.11980620973288936
O. Marmoush,70,4,3.5999999999999996,3.718491579694224,-0.1184915796942243
F. Delph,75,3,3.8999999999999995,4.018480201114859,-0.1184802011148598
V. Drchal,69,4,3.2,3.3183275013127935,-0.11832750131279335
Ø. Nyland,69,1,0.925,1.042650726609648,-0.11765072660964804
S. Ferreira,72,4,4.999999999999999,5.115814924849849,-0.11581492484984945
W. Carmona,60,4,0.625,0.74031930800497,-0.11531930800497003
J. Montero,70,4,1.3,1.4150843677971119,-0.11508436779711184
I. Boura,67,2,2.1,2.21464818690025,-0.1146481869002498
